                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3077,                 4.1449,                 4.1148,                0.00272,                0.57374,                0.00926,                0.00275,                 2.9481,                   3.94,                 4.0318,             0.00046826,             0.00046826,             0.00046826
                      2,                 3.0359,                 3.8255,                 3.7759,                0.00064,                0.37361,                0.00903,                 0.0013,                 3.3382,                 4.5824,                 4.7617,             0.00092589,             0.00092589,             0.00092589
                      3,                 2.6811,                 3.5968,                 3.3462,                0.68206,                0.05303,                0.03977,                0.00982,                 2.5223,                 3.4883,                  3.512,              0.0013647,              0.0013647,              0.0013647
                      4,                 2.5159,                 3.3925,                 3.1108,                0.72497,                0.10985,                0.07505,                0.02259,                 2.2283,                 8.2927,                 3.2672,              0.0013441,              0.0013441,              0.0013441
                      5,                 2.3521,                 3.1146,                 2.9445,                0.78727,                0.14394,                 0.1359,                0.04826,                 2.0377,                  3.146,                 3.0435,              0.0013441,              0.0013441,              0.0013441
                      6,                 2.2799,                 2.9056,                 2.8338,                0.19211,                0.40194,                0.24727,                0.06174,                 2.3491,                 3.0577,                  3.107,              0.0013158,              0.0013158,              0.0013158
                      7,                  2.127,                 2.6993,                 2.6891,                0.29077,                 0.4976,                0.33772,                0.10792,                 1.8996,                 3.3396,                  2.801,              0.0012875,              0.0012875,              0.0012875
                      8,                 2.0465,                 2.4794,                 2.6009,                0.57931,                0.34318,                0.38769,                0.16582,                 1.7667,                 2.0828,                 2.5698,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.9712,                 2.3438,                 2.5196,                0.38218,                0.53773,                0.48051,                0.18199,                  1.896,                 1.9963,                 2.6907,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.9192,                 2.2419,                 2.4622,                0.21519,                0.39747,                0.35362,                0.13916,                 1.8296,                 2.6529,                 2.6853,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.8757,                 2.1036,                 2.4158,                0.32784,                0.58522,                0.47369,                0.21048,                 1.7689,                 2.8696,                 2.5487,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.8072,                  1.999,                 2.3556,                0.39889,                0.56162,                0.45063,                 0.1807,                 1.7782,                 1.9639,                 2.5971,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.7907,                  1.895,                 2.3204,                0.57594,                0.79167,                0.76845,                 0.3471,                 1.5873,                 1.5191,                 2.3416,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.7419,                 1.8992,                 2.2845,                  0.673,                0.71505,                0.75152,                0.36438,                 1.6278,                 1.3906,                 2.3351,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.7484,                  1.793,                 2.2679,                0.61312,                0.83368,                0.79864,                0.38054,                 1.6066,                 1.4679,                 2.3891,              0.0010612,              0.0010612,              0.0010612
                     16,                 1.6821,                  1.713,                 2.2079,                0.68329,                0.81253,                0.80931,                0.40151,                 1.6295,                  1.309,                 2.3359,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.6401,                 1.6338,                 2.1778,                0.69426,                0.75777,                0.76683,                0.39867,                  1.656,                  1.382,                 2.4176,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.6363,                 1.6433,                 2.1588,                0.68097,                0.79098,                0.77535,                0.37534,                 1.5379,                 1.2712,                 2.2734,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.6058,                 1.5348,                 2.1258,                0.80412,                0.86578,                0.90839,                0.50448,                 1.3998,                 1.0034,                 2.0871,               0.000948,               0.000948,               0.000948
                     20,                  1.582,                 1.4763,                 2.0647,                0.58223,                0.74146,                0.72592,                0.36399,                 1.4839,                 1.2733,                  2.177,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.5727,                 1.4702,                 2.0667,                0.83172,                0.82436,                0.89465,                0.46669,                 1.5104,                0.98965,                 2.1461,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.5839,                 1.4933,                 2.0725,                0.76789,                0.69708,                0.73121,                0.35806,                  1.619,                 1.2472,                 2.3907,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.5596,                 1.4147,                 2.0596,                0.85049,                0.87587,                0.88332,                0.47294,                 1.4397,                0.96539,                  2.138,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.5205,                 1.4273,                 2.0253,                0.78531,                0.80349,                0.90739,                0.47051,                 1.4384,                 1.0468,                 2.0916,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.5162,                 1.3609,                 1.9964,                0.83224,                0.90995,                0.91911,                 0.4786,                 1.4418,                0.90361,                 2.0505,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.5234,                 1.3705,                 2.0064,                 0.9061,                0.90249,                0.94212,                0.53017,                 1.4408,                0.89706,                 2.0976,             0.00074994,             0.00074994,             0.00074994
